,Country,total_cases,,,,,,,,,,,,,
137,Sierra Leone,61,,,,,,,,,,,,,
138,Singapore,10141,,,,,,,,,,,,,
139,Slovakia,1244,,,,,,,,,,,,,
140,Slovenia,1353,,,,,,,,,,,,,
141,Somalia,286,,,,,,,,,,,,,
142,South Africa,3635,,,,,,,,,,,,,
143,South Sudan,4,,,,,,,,,,,,,
144,South Korea,10702,,,,,,,,,,,,,
145,Spain,208389,,,,,,,,,,,,,
146,Sri Lanka,330,,,,,,,,,,,,,
147,Sudan,140,,,,,,,,,,,,,
148,Suriname,10,,,,,,,,,,,,,
149,Sweden,16004,,,,,,,,,,,,,
150,Switzerland,28186,,,,,,,,,,,,,
151,Syria,42,,,,,,,,,,,,,
152,Tanzania,285,,,,,,,,,,,,,
153,Thailand,2839,,,,,,,,,,,,,
154,Togo,88,,,,,,,,,,,,,
155,Trinidad and Tobago,115,,,,,,,,,,,,,
156,Tunisia,901,,,,,,,,,,,,,
157,Turkey,98674,,,,,,,,,,,,,
158,Uganda,61,,,,,,,,,,,,,
159,Ukraine,7170,,,,,,,,,,,,,
160,United Arab Emirates,8238,,,,,,,,,,,,,
161,United Kingdom,133495,,,,,,,,,,,,,
162,United States,842629,,,,,,,,,,,,,
163,Uruguay,549,,,,,,,,,,,,,
164,Uzbekistan,1716,,,,,,,,,,,,,
165,Venezuela,288,,,,,,,,,,,,,
166,Vietnam,268,,,,,,,,,,,,,
167,Yemen,1,,,,,,,,,,,,,
168,Zambia,74,,,,,,,,,,,,,
169,Zimbabwe,28,,,,,,,,,,,,,
